date,active_events,new_events,ended_events,avg_discount_pct,active_brand,active_merchant,active_beauty,active_delivery,active_fashion,active_food,active_living,active_popup,active_stay,active_tech,weekday,weekday_ko,ma7_active,merchant_share
2026-05-27,37,1,2,39.0625,31,6,5,5,5,6,5,0,5,6,2,수,33.857142857142854,0.16216216216216217
2026-05-28,39,4,2,38.18181818181818,33,6,6,6,5,5,6,0,6,5,3,목,35.0,0.15384615384615385
2026-05-29,39,2,2,37.57575757575758,33,6,6,7,5,4,6,0,6,5,4,금,36.0,0.15384615384615385
2026-05-30,39,2,0,38.90625,33,6,6,7,5,5,6,0,5,5,5,토,36.857142857142854,0.15384615384615385
2026-05-31,39,0,1,38.90625,33,6,6,7,5,5,6,0,5,5,6,일,37.57142857142857,0.15384615384615385
2026-06-01,38,0,4,38.54838709677419,32,6,6,6,5,5,6,0,5,5,0,월,38.142857142857146,0.15789473684210525
2026-06-02,34,0,1,38.793103448275865,29,5,6,5,4,5,4,0,5,5,1,화,37.857142857142854,0.14705882352941177
2026-06-03,33,0,0,38.57142857142857,28,5,6,5,4,4,4,0,5,5,2,수,37.285714285714285,0.15151515151515152
2026-06-04,33,0,2,38.57142857142857,28,5,6,5,4,4,4,0,5,5,3,목,36.42857142857143,0.15151515151515152
2026-06-05,31,0,4,36.92307692307692,26,5,6,5,4,3,4,0,4,5,4,금,35.285714285714285,0.16129032258064516
2026-06-06,27,0,1,38.91304347826087,22,5,4,5,3,3,4,0,4,4,5,토,33.57142857142857,0.18518518518518517
2026-06-07,26,0,3,39.54545454545455,21,5,4,5,3,3,3,0,4,4,6,일,31.714285714285715,0.19230769230769232
2026-06-08,23,0,2,39.73684210526316,19,4,3,5,2,3,3,0,3,4,0,월,29.571428571428573,0.17391304347826086
2026-06-09,21,0,2,40.88235294117647,17,4,2,4,2,3,3,0,3,4,1,화,27.714285714285715,0.19047619047619047
2026-06-10,19,0,4,38.333333333333336,15,4,1,4,2,3,2,0,3,4,2,수,25.714285714285715,0.21052631578947367
2026-06-11,15,0,0,31.363636363636363,12,3,1,4,2,2,1,0,3,2,3,목,23.142857142857142,0.2
2026-06-12,15,0,2,31.363636363636363,12,3,1,4,2,2,1,0,3,2,4,금,20.857142857142858,0.2
2026-06-13,13,0,1,32.5,11,2,1,3,2,2,1,0,3,1,5,토,18.857142857142858,0.15384615384615385
2026-06-14,12,0,2,33.333333333333336,10,2,1,2,2,2,1,0,3,1,6,일,16.857142857142858,0.16666666666666666
2026-06-15,10,0,0,33.57142857142857,8,2,1,2,1,2,1,0,2,1,0,월,15.0,0.2
2026-06-16,10,0,1,33.57142857142857,8,2,1,2,1,2,1,0,2,1,1,화,13.428571428571429,0.2
2026-06-17,9,0,0,32.5,7,2,1,2,1,2,1,0,1,1,2,수,12.0,0.2222222222222222
2026-06-18,9,0,2,32.5,7,2,1,2,1,2,1,0,1,1,3,목,11.142857142857142,0.2222222222222222
2026-06-19,7,0,2,32.5,6,1,1,1,1,1,1,0,1,1,4,금,10.0,0.14285714285714285
2026-06-20,5,0,1,35.0,4,1,1,1,1,0,1,0,1,0,5,토,8.857142857142858,0.2
2026-06-21,4,0,0,37.5,3,1,1,0,1,0,1,0,1,0,6,일,7.714285714285714,0.25
2026-06-22,4,0,3,37.5,3,1,1,0,1,0,1,0,1,0,0,월,6.857142857142857,0.25
2026-06-23,1,0,0,45.0,1,0,0,0,1,0,0,0,0,0,1,화,5.571428571428571,0.0
2026-06-24,1,0,1,45.0,1,0,0,0,1,0,0,0,0,0,2,수,4.428571428571429,0.0
2026-06-25,0,0,0,,0,0,0,0,0,0,0,0,0,0,3,목,3.142857142857143,
2026-06-26,0,0,0,,0,0,0,0,0,0,0,0,0,0,4,금,2.142857142857143,
2026-06-27,0,0,0,,0,0,0,0,0,0,0,0,0,0,5,토,1.4285714285714286,
2026-06-28,0,0,0,,0,0,0,0,0,0,0,0,0,0,6,일,0.8571428571428571,
2026-06-29,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,월,0.2857142857142857,
2026-06-30,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,화,0.14285714285714285,
2026-07-01,7,7,0,53.5,6,1,2,0,0,4,0,1,0,0,2,수,1.0,0.14285714285714285
2026-07-02,8,1,0,52.333333333333336,7,1,2,0,0,5,0,1,0,0,3,목,2.142857142857143,0.125
2026-07-03,8,0,0,52.333333333333336,7,1,2,0,0,5,0,1,0,0,4,금,3.2857142857142856,0.125
2026-07-04,8,0,0,52.333333333333336,7,1,2,0,0,5,0,1,0,0,5,토,4.428571428571429,0.125
2026-07-05,9,1,0,52.333333333333336,7,2,2,0,0,5,0,2,0,0,6,일,5.714285714285714,0.2222222222222222
2026-07-06,10,1,0,52.333333333333336,8,2,2,1,0,5,0,2,0,0,0,월,7.142857142857143,0.2
2026-07-07,10,0,0,52.333333333333336,8,2,2,1,0,5,0,2,0,0,1,화,8.571428571428571,0.2
2026-07-08,11,1,1,52.333333333333336,9,2,2,1,0,5,0,3,0,0,2,수,9.142857142857142,0.18181818181818182
2026-07-09,11,1,0,53.5,9,2,2,1,0,4,0,4,0,0,3,목,9.571428571428571,0.18181818181818182
2026-07-10,27,16,0,36.69230769230769,24,3,3,3,3,5,2,8,1,2,4,금,12.285714285714286,0.1111111111111111
2026-07-11,28,1,1,36.69230769230769,25,3,3,3,3,6,2,8,1,2,5,토,15.142857142857142,0.10714285714285714
2026-07-12,27,0,1,36.69230769230769,24,3,3,3,3,5,2,8,1,2,6,일,17.714285714285715,0.1111111111111111
2026-07-13,26,0,0,36.69230769230769,23,3,3,2,3,5,2,8,1,2,0,월,20.0,0.11538461538461539
2026-07-14,26,0,1,36.69230769230769,23,3,3,2,3,5,2,8,1,2,1,화,22.285714285714285,0.11538461538461539
2026-07-15,41,16,0,39.51851851851852,36,5,5,4,5,6,3,10,4,4,2,수,26.571428571428573,0.12195121951219512
2026-07-16,41,0,0,39.51851851851852,36,5,5,4,5,6,3,10,4,4,3,목,30.857142857142858,0.12195121951219512
2026-07-17,41,0,0,39.51851851851852,36,5,5,4,5,6,3,10,4,4,4,금,32.857142857142854,0.12195121951219512
2026-07-18,41,0,0,39.51851851851852,36,5,5,4,5,6,3,10,4,4,5,토,34.714285714285715,0.12195121951219512
2026-07-19,41,0,0,39.51851851851852,36,5,5,4,5,6,3,10,4,4,6,일,36.714285714285715,0.12195121951219512
2026-07-20,56,15,16,40.166666666666664,48,8,7,6,7,7,5,13,6,5,0,월,41.0,0.14285714285714285
2026-07-21,40,0,0,42.483870967741936,33,7,6,4,4,6,3,9,5,3,1,화,43.0,0.175
2026-07-22,40,0,0,42.483870967741936,33,7,6,4,4,6,3,9,5,3,2,수,42.857142857142854,0.175
2026-07-23,40,0,1,42.483870967741936,33,7,6,4,4,6,3,9,5,3,3,목,42.714285714285715,0.175
2026-07-24,39,0,0,42.483870967741936,32,7,6,4,4,6,3,8,5,3,4,금,42.42857142857143,0.1794871794871795
2026-07-25,39,0,0,42.483870967741936,32,7,6,4,4,6,3,8,5,3,5,토,42.142857142857146,0.1794871794871795
2026-07-26,39,0,0,42.483870967741936,32,7,6,4,4,6,3,8,5,3,6,일,41.857142857142854,0.1794871794871795
2026-07-27,39,0,0,42.483870967741936,32,7,6,4,4,6,3,8,5,3,0,월,39.42857142857143,0.1794871794871795
2026-07-28,39,0,0,42.483870967741936,32,7,6,4,4,6,3,8,5,3,1,화,39.285714285714285,0.1794871794871795
2026-07-29,39,0,0,42.483870967741936,32,7,6,4,4,6,3,8,5,3,2,수,39.142857142857146,0.1794871794871795
2026-07-30,39,0,0,42.483870967741936,32,7,6,4,4,6,3,8,5,3,3,목,39.0,0.1794871794871795
2026-07-31,39,0,24,42.483870967741936,32,7,6,4,4,6,3,8,5,3,4,금,39.0,0.1794871794871795
2026-08-01,30,15,0,40.625,27,3,3,4,4,2,5,5,4,3,5,토,37.714285714285715,0.1
2026-08-02,30,0,0,40.625,27,3,3,4,4,2,5,5,4,3,6,일,36.42857142857143,0.1
2026-08-03,30,0,0,40.625,27,3,3,4,4,2,5,5,4,3,0,월,35.142857142857146,0.1
2026-08-04,30,0,0,40.625,27,3,3,4,4,2,5,5,4,3,1,화,33.857142857142854,0.1
2026-08-05,45,15,15,38.611111111111114,39,6,5,5,5,2,7,9,6,6,2,수,34.714285714285715,0.13333333333333333
2026-08-06,30,0,0,36.666666666666664,27,3,3,3,3,1,5,6,4,5,3,목,33.42857142857143,0.1
2026-08-07,30,0,0,36.666666666666664,27,3,3,3,3,1,5,6,4,5,4,금,32.142857142857146,0.1
2026-08-08,30,0,0,36.666666666666664,27,3,3,3,3,1,5,6,4,5,5,토,32.142857142857146,0.1
2026-08-09,30,0,0,36.666666666666664,27,3,3,3,3,1,5,6,4,5,6,일,32.142857142857146,0.1
2026-08-10,30,0,0,36.666666666666664,27,3,3,3,3,1,5,6,4,5,0,월,32.142857142857146,0.1
2026-08-11,30,0,0,36.666666666666664,27,3,3,3,3,1,5,6,4,5,1,화,32.142857142857146,0.1
2026-08-12,30,0,0,36.666666666666664,27,3,3,3,3,1,5,6,4,5,2,수,30.0,0.1
2026-08-13,30,0,0,36.666666666666664,27,3,3,3,3,1,5,6,4,5,3,목,30.0,0.1
2026-08-14,30,0,0,36.666666666666664,27,3,3,3,3,1,5,6,4,5,4,금,30.0,0.1
2026-08-15,30,0,15,36.666666666666664,27,3,3,3,3,1,5,6,4,5,5,토,30.0,0.1
2026-08-16,15,0,0,34.583333333333336,12,3,2,1,1,0,2,4,2,3,6,일,27.857142857142858,0.2
2026-08-17,15,0,0,34.583333333333336,12,3,2,1,1,0,2,4,2,3,0,월,25.714285714285715,0.2
2026-08-18,15,0,0,34.583333333333336,12,3,2,1,1,0,2,4,2,3,1,화,23.571428571428573,0.2
2026-08-19,15,0,0,34.583333333333336,12,3,2,1,1,0,2,4,2,3,2,수,21.428571428571427,0.2
2026-08-20,15,0,15,34.583333333333336,12,3,2,1,1,0,2,4,2,3,3,목,19.285714285714285,0.2
