date,active_events,new_events,active_brand,active_merchant,active_beauty,active_delivery,active_fashion,active_food,active_living,active_popup,active_stay,active_tech,weekday,weekday_ko,total_views,total_likes,views_beauty,views_delivery,views_fashion,views_food,views_living,views_popup,views_stay,views_tech,review_count,avg_rating,rating_sum,ma7_views,ma30_views,is_real_period,avg_rating_7d
2025-09-07,11,0,10,1,1,1,1,3,2,1,2,0,6,일,774.0,48.0,76.0,108.0,107.0,279.0,89.0,70.0,45.0,0.0,0.0,,0.0,517.4285714285714,365.8333333333333,False,4.5
2025-09-08,11,1,9,2,1,1,1,3,2,2,1,0,0,월,456.0,29.0,24.0,52.0,78.0,157.0,46.0,70.0,29.0,0.0,1.0,5.0,5.0,520.4285714285714,370.57894736842104,False,4.666666666666667
2025-09-09,10,0,8,2,1,1,1,3,2,2,0,0,1,화,429.0,29.0,68.0,37.0,58.0,124.0,41.0,101.0,0.0,0.0,3.0,4.0,12.0,524.5714285714286,373.5,False,4.2
2025-09-10,10,0,8,2,1,1,1,3,2,2,0,0,2,수,466.0,29.0,49.0,53.0,58.0,181.0,47.0,78.0,0.0,0.0,2.0,4.5,9.0,538.5714285714286,377.9047619047619,False,4.285714285714286
2025-09-11,10,1,9,1,2,1,1,3,2,1,0,0,3,목,416.0,25.0,118.0,29.0,40.0,125.0,36.0,68.0,0.0,0.0,2.0,4.0,8.0,548.8571428571429,379.6363636363636,False,4.222222222222222
2025-09-12,10,1,9,1,2,1,1,3,2,1,0,0,4,금,666.0,48.0,142.0,30.0,62.0,348.0,49.0,35.0,0.0,0.0,1.0,4.0,4.0,572.7142857142857,392.0869565217391,False,4.2
2025-09-13,9,0,8,1,2,1,1,3,1,1,0,0,5,토,656.0,48.0,140.0,56.0,55.0,320.0,37.0,48.0,0.0,0.0,3.0,4.0,12.0,551.8571428571429,403.0833333333333,False,4.166666666666667
2025-09-14,10,1,9,1,2,1,1,3,1,1,1,0,6,일,588.0,38.0,174.0,55.0,51.0,208.0,26.0,44.0,30.0,0.0,3.0,3.3333333333333335,10.0,525.2857142857143,410.48,False,4.0
2025-09-15,10,0,9,1,2,1,1,3,1,1,1,0,0,월,581.0,37.0,126.0,34.0,52.0,205.0,19.0,24.0,121.0,0.0,2.0,4.5,9.0,543.1428571428571,417.03846153846155,False,4.0
2025-09-16,10,0,9,1,2,1,1,3,1,1,1,0,1,화,297.0,21.0,76.0,32.0,22.0,99.0,14.0,19.0,35.0,0.0,0.0,,0.0,524.2857142857143,412.5925925925926,False,4.0
2025-09-17,9,0,8,1,2,1,0,3,1,1,1,0,2,수,299.0,19.0,112.0,14.0,0.0,100.0,15.0,35.0,23.0,0.0,0.0,,0.0,500.42857142857144,408.5357142857143,False,3.909090909090909
2025-09-18,9,0,8,1,2,1,0,3,1,1,1,0,3,목,336.0,18.0,82.0,37.0,0.0,130.0,30.0,17.0,40.0,0.0,1.0,5.0,5.0,489.0,406.0344827586207,False,4.0
2025-09-19,10,1,9,1,2,1,0,3,1,1,1,1,4,금,522.0,29.0,115.0,59.0,0.0,177.0,31.0,22.0,56.0,62.0,0.0,,0.0,468.42857142857144,409.9,False,4.0
2025-09-20,10,0,9,1,2,1,0,3,1,1,1,1,5,토,509.0,29.0,101.0,55.0,0.0,159.0,26.0,35.0,58.0,75.0,1.0,4.0,4.0,447.42857142857144,424.8666666666667,False,4.0
2025-09-21,9,0,8,1,1,1,0,3,1,1,1,1,6,일,459.0,26.0,55.0,50.0,0.0,169.0,30.0,46.0,55.0,54.0,1.0,4.0,4.0,429.0,431.06666666666666,False,4.4
2025-09-22,9,2,7,2,1,2,0,2,0,1,2,1,0,월,353.0,22.0,20.0,105.0,0.0,111.0,0.0,19.0,64.0,34.0,1.0,4.0,4.0,396.42857142857144,434.1666666666667,False,4.25
2025-09-23,9,1,7,2,1,2,0,2,0,1,2,1,1,화,292.0,15.0,22.0,88.0,0.0,54.0,0.0,17.0,86.0,25.0,2.0,3.5,7.0,395.7142857142857,434.1666666666667,False,4.0
2025-09-24,8,0,7,1,1,2,0,2,0,0,2,1,2,수,381.0,21.0,30.0,149.0,0.0,121.0,0.0,0.0,62.0,19.0,1.0,4.0,4.0,407.42857142857144,439.6666666666667,False,4.0
2025-09-25,7,0,6,1,1,2,0,1,0,0,2,1,3,목,265.0,15.0,51.0,101.0,0.0,18.0,0.0,0.0,79.0,16.0,2.0,4.5,9.0,397.2857142857143,440.8666666666667,False,4.0
2025-09-26,7,0,6,1,1,2,0,1,0,0,2,1,4,금,314.0,16.0,47.0,101.0,0.0,70.0,0.0,0.0,73.0,23.0,1.0,3.0,3.0,367.57142857142856,444.5,False,3.888888888888889
2025-09-27,9,2,8,1,1,3,0,1,0,1,2,1,5,토,558.0,29.0,44.0,263.0,0.0,39.0,0.0,89.0,93.0,30.0,0.0,,0.0,374.57142857142856,455.8,False,3.875
2025-09-28,7,0,6,1,0,3,0,0,0,1,2,1,6,일,349.0,20.0,0.0,151.0,0.0,0.0,0.0,112.0,58.0,28.0,1.0,5.0,5.0,358.85714285714283,458.53333333333336,False,4.0
2025-09-29,7,0,6,1,0,3,0,0,0,1,2,1,0,월,271.0,14.0,0.0,180.0,0.0,0.0,0.0,42.0,23.0,26.0,0.0,,0.0,347.14285714285717,454.46666666666664,False,4.0
2025-09-30,8,2,6,2,0,3,0,0,0,1,4,0,1,화,336.0,14.0,0.0,107.0,0.0,0.0,0.0,60.0,169.0,0.0,0.0,,0.0,353.42857142857144,447.3666666666667,False,4.2
2025-10-01,8,0,6,2,0,3,0,0,0,1,4,0,2,수,300.0,15.0,0.0,93.0,0.0,0.0,0.0,98.0,109.0,0.0,0.0,,0.0,341.85714285714283,442.8666666666667,False,4.25
2025-10-02,8,0,6,2,0,3,0,0,0,1,4,0,3,목,281.0,13.0,0.0,113.0,0.0,0.0,0.0,47.0,121.0,0.0,0.0,,0.0,344.14285714285717,438.9,False,4.0
2025-10-03,8,1,7,1,0,3,1,0,0,1,3,0,4,금,363.0,17.0,0.0,97.0,91.0,0.0,0.0,62.0,113.0,0.0,1.0,4.0,4.0,351.14285714285717,438.73333333333335,False,4.5
2025-10-04,9,1,8,1,0,3,1,0,0,2,3,0,5,토,525.0,32.0,0.0,102.0,62.0,0.0,0.0,217.0,144.0,0.0,0.0,,0.0,346.42857142857144,444.76666666666665,False,4.5
2025-10-05,9,1,8,1,0,4,1,0,0,2,2,0,6,일,550.0,25.0,0.0,307.0,56.0,0.0,0.0,123.0,64.0,0.0,0.0,,0.0,375.14285714285717,446.46666666666664,False,4.0
2025-10-06,9,0,8,1,0,4,1,0,0,2,2,0,0,월,366.0,21.0,0.0,178.0,56.0,0.0,0.0,83.0,49.0,0.0,1.0,4.0,4.0,388.7142857142857,431.93333333333334,False,4.0
2025-10-07,9,0,8,1,0,4,1,0,0,2,2,0,1,화,266.0,13.0,0.0,141.0,21.0,0.0,0.0,51.0,53.0,0.0,2.0,3.0,6.0,378.7142857142857,415.0,False,3.5
2025-10-08,8,0,7,1,0,3,1,0,0,2,2,0,2,수,360.0,19.0,0.0,166.0,54.0,0.0,0.0,84.0,56.0,0.0,1.0,4.0,4.0,387.2857142857143,411.8,False,3.6
2025-10-09,9,1,8,1,0,3,2,0,0,2,2,0,3,목,376.0,25.0,0.0,85.0,130.0,0.0,0.0,116.0,45.0,0.0,2.0,3.5,7.0,400.85714285714283,410.03333333333336,False,3.5714285714285716
2025-10-10,11,2,10,1,1,3,2,0,1,2,2,0,4,금,580.0,33.0,162.0,144.0,95.0,0.0,47.0,90.0,42.0,0.0,1.0,4.0,4.0,431.85714285714283,413.8333333333333,False,3.5714285714285716
2025-10-11,13,3,12,1,1,3,3,0,2,2,1,1,5,토,959.0,51.0,160.0,167.0,238.0,0.0,236.0,59.0,19.0,80.0,0.0,,0.0,493.85714285714283,431.93333333333334,False,3.5714285714285716
2025-10-12,13,0,12,1,1,3,3,0,2,2,1,1,6,일,736.0,44.0,72.0,138.0,308.0,0.0,65.0,69.0,25.0,59.0,3.0,3.6666666666666665,11.0,520.4285714285714,434.26666666666665,False,3.6
2025-10-13,12,1,11,1,1,2,3,0,2,2,1,1,0,월,442.0,24.0,54.0,52.0,124.0,0.0,53.0,103.0,17.0,39.0,0.0,,0.0,531.2857142857143,427.1333333333333,False,3.5555555555555554
2025-10-14,13,1,12,1,1,3,3,0,2,2,1,1,1,화,523.0,31.0,41.0,107.0,128.0,0.0,73.0,125.0,31.0,18.0,1.0,4.0,4.0,568.0,424.96666666666664,False,3.75
2025-10-15,12,0,11,1,1,3,3,0,2,1,1,1,2,수,422.0,23.0,40.0,103.0,94.0,0.0,94.0,49.0,17.0,25.0,2.0,3.5,7.0,576.8571428571429,419.6666666666667,False,3.6666666666666665
2025-10-16,11,1,11,0,1,2,3,0,2,1,1,1,3,목,512.0,24.0,38.0,87.0,140.0,0.0,59.0,42.0,110.0,36.0,1.0,5.0,5.0,596.2857142857143,426.8333333333333,False,3.875
2025-10-17,12,1,12,0,1,2,4,0,2,1,1,1,4,금,667.0,39.0,47.0,96.0,224.0,0.0,79.0,73.0,92.0,56.0,1.0,5.0,5.0,608.7142857142857,439.1,False,4.0
2025-10-18,13,1,13,0,1,2,4,0,2,2,1,1,5,토,843.0,48.0,79.0,62.0,341.0,0.0,117.0,121.0,92.0,31.0,1.0,5.0,5.0,592.1428571428571,456.0,False,4.111111111111111
2025-10-19,12,1,12,0,1,1,3,0,2,3,1,1,6,일,782.0,43.0,52.0,71.0,213.0,0.0,93.0,235.0,80.0,38.0,4.0,3.75,15.0,598.7142857142857,464.6666666666667,False,4.1
2025-10-20,15,4,15,0,1,1,4,0,3,3,2,1,0,월,750.0,38.0,22.0,30.0,262.0,0.0,97.0,217.0,101.0,21.0,2.0,3.5,7.0,642.7142857142857,472.7,False,4.0
2025-10-21,17,2,17,0,1,1,5,0,3,4,2,1,1,화,863.0,50.0,41.0,44.0,291.0,0.0,130.0,243.0,96.0,18.0,2.0,3.5,7.0,691.2857142857143,486.1666666666667,False,3.923076923076923
2025-10-22,16,1,16,0,1,1,4,1,2,4,2,1,2,수,868.0,55.0,33.0,27.0,211.0,170.0,118.0,187.0,106.0,16.0,1.0,3.0,3.0,755.0,503.3333333333333,False,3.9166666666666665
2025-10-23,16,0,16,0,1,1,4,1,2,4,2,1,3,목,778.0,45.0,38.0,33.0,266.0,69.0,54.0,225.0,74.0,19.0,0.0,,0.0,793.0,519.5333333333333,False,3.8181818181818183
2025-10-24,16,0,16,0,1,1,4,1,2,4,2,1,4,금,796.0,46.0,42.0,47.0,232.0,138.0,80.0,127.0,101.0,29.0,1.0,5.0,5.0,811.4285714285714,533.3666666666667,False,3.8181818181818183
2025-10-25,15,0,15,0,1,0,4,1,2,4,2,1,5,토,988.0,60.0,50.0,0.0,327.0,136.0,106.0,259.0,75.0,35.0,1.0,5.0,5.0,832.1428571428571,557.4666666666667,False,3.8181818181818183
2025-10-26,15,1,14,1,1,0,4,1,1,5,2,1,6,일,897.0,55.0,47.0,0.0,318.0,63.0,28.0,375.0,50.0,16.0,1.0,4.0,4.0,848.5714285714286,576.9,False,3.875
2025-10-27,14,0,13,1,1,0,3,1,1,5,2,1,0,월,561.0,37.0,16.0,0.0,137.0,32.0,21.0,277.0,63.0,15.0,0.0,,0.0,821.5714285714286,577.0,False,4.0
2025-10-28,14,0,13,1,1,0,3,1,1,5,2,1,1,화,467.0,26.0,32.0,0.0,103.0,49.0,54.0,181.0,37.0,11.0,1.0,4.0,4.0,765.0,580.9333333333333,False,4.2
2025-10-29,14,0,13,1,1,0,3,1,1,5,2,1,2,수,529.0,30.0,23.0,0.0,138.0,18.0,36.0,243.0,54.0,17.0,1.0,4.0,4.0,716.5714285714286,589.5333333333333,False,4.4
2025-10-30,13,0,12,1,1,0,3,1,1,4,2,1,3,목,495.0,30.0,26.0,0.0,153.0,74.0,26.0,157.0,43.0,16.0,2.0,3.5,7.0,676.1428571428571,594.8333333333334,False,4.142857142857143
2025-10-31,12,0,11,1,0,0,3,1,1,4,2,1,4,금,501.0,28.0,0.0,0.0,96.0,66.0,38.0,231.0,46.0,24.0,2.0,3.0,6.0,634.0,601.5333333333333,False,3.75
2025-11-01,10,1,9,1,0,1,2,1,1,4,1,0,5,토,590.0,37.0,0.0,60.0,113.0,109.0,38.0,209.0,61.0,0.0,0.0,,0.0,577.1428571428571,611.8333333333334,False,3.5714285714285716
2025-11-02,9,1,8,1,0,1,2,0,1,4,1,0,6,일,575.0,30.0,0.0,145.0,163.0,0.0,42.0,189.0,36.0,0.0,5.0,4.0,20.0,531.1428571428571,618.9,False,3.727272727272727
2025-11-03,8,0,7,1,0,1,2,0,1,3,1,0,0,월,328.0,19.0,0.0,61.0,104.0,0.0,25.0,119.0,19.0,0.0,2.0,4.0,8.0,497.85714285714283,612.3333333333334,False,3.769230769230769
2025-11-04,9,2,7,2,0,1,3,0,0,4,1,0,1,화,374.0,26.0,0.0,47.0,137.0,0.0,0.0,168.0,22.0,0.0,0.0,,0.0,484.57142857142856,606.4666666666667,False,3.75
2025-11-05,8,0,6,2,0,1,2,0,0,4,1,0,2,수,358.0,22.0,0.0,30.0,125.0,0.0,0.0,186.0,17.0,0.0,1.0,3.0,3.0,460.14285714285717,606.2,False,3.6666666666666665
2025-11-06,8,0,6,2,0,1,2,0,0,4,1,0,3,목,322.0,16.0,0.0,24.0,123.0,0.0,0.0,128.0,47.0,0.0,1.0,4.0,4.0,435.42857142857144,608.0666666666667,False,3.727272727272727
2025-11-07,9,1,7,2,0,1,2,0,1,4,1,0,4,금,400.0,25.0,0.0,46.0,122.0,0.0,45.0,167.0,20.0,0.0,5.0,4.2,21.0,421.0,609.4,False,4.0
2025-11-08,11,3,8,3,0,1,3,1,1,3,1,1,5,토,837.0,48.0,0.0,48.0,227.0,106.0,74.0,251.0,29.0,102.0,0.0,,0.0,456.2857142857143,624.7666666666667,False,4.0
2025-11-09,11,0,8,3,0,1,3,1,1,3,1,1,6,일,688.0,44.0,0.0,29.0,269.0,64.0,59.0,189.0,33.0,45.0,4.0,4.25,17.0,472.42857142857144,628.3666666666667,False,4.076923076923077
2025-11-10,12,2,9,3,0,1,3,1,1,4,1,1,0,월,495.0,27.0,0.0,20.0,124.0,39.0,33.0,200.0,58.0,21.0,0.0,,0.0,496.2857142857143,612.9,False,4.090909090909091
2025-11-11,12,1,10,2,0,1,3,1,1,4,1,1,1,화,612.0,39.0,0.0,18.0,91.0,105.0,41.0,278.0,54.0,25.0,1.0,4.0,4.0,530.2857142857143,608.7666666666667,False,4.083333333333333
2025-11-12,13,1,11,2,0,1,3,1,1,4,1,2,2,수,642.0,37.0,0.0,18.0,146.0,53.0,30.0,243.0,89.0,63.0,1.0,4.0,4.0,570.8571428571429,615.4333333333333,False,4.166666666666667
2025-11-13,13,0,11,2,0,1,3,1,1,4,1,2,3,목,613.0,40.0,0.0,23.0,134.0,41.0,37.0,238.0,51.0,89.0,3.0,4.0,12.0,612.4285714285714,618.4333333333333,False,4.142857142857143
2025-11-14,13,1,11,2,1,1,3,1,1,3,1,2,4,금,655.0,39.0,131.0,38.0,97.0,56.0,48.0,171.0,54.0,60.0,2.0,3.5,7.0,648.8571428571429,626.2,False,4.0
2025-11-15,14,1,12,2,1,1,3,1,1,4,1,2,5,토,977.0,62.0,83.0,46.0,120.0,60.0,94.0,420.0,90.0,64.0,1.0,4.0,4.0,668.8571428571429,641.7,False,4.0
2025-11-16,15,1,13,2,1,1,3,1,1,4,2,2,6,일,832.0,53.0,42.0,35.0,138.0,32.0,35.0,346.0,114.0,90.0,1.0,4.0,4.0,689.4285714285714,647.2,False,3.888888888888889
2025-11-17,15,1,13,2,1,1,3,1,1,4,2,2,0,월,614.0,37.0,46.0,70.0,165.0,51.0,38.0,139.0,58.0,47.0,1.0,5.0,5.0,706.4285714285714,639.5666666666667,False,4.0
2025-11-18,15,0,13,2,1,1,3,1,1,4,2,2,1,화,524.0,30.0,56.0,47.0,93.0,32.0,25.0,147.0,71.0,53.0,3.0,4.0,12.0,693.8571428571429,630.9666666666667,False,4.0
2025-11-19,15,1,14,1,1,1,3,1,1,4,2,2,2,수,607.0,39.0,32.0,48.0,99.0,108.0,26.0,174.0,49.0,71.0,2.0,5.0,10.0,688.8571428571429,626.2,False,4.153846153846154
2025-11-20,14,0,13,1,1,1,3,1,1,3,2,2,3,목,557.0,33.0,66.0,31.0,73.0,147.0,24.0,102.0,72.0,42.0,3.0,4.333333333333333,13.0,680.8571428571429,616.0,False,4.230769230769231
2025-11-21,13,0,12,1,1,1,3,1,1,3,1,2,4,금,566.0,35.0,50.0,38.0,128.0,83.0,31.0,158.0,39.0,39.0,4.0,4.25,17.0,668.1428571428571,605.9333333333333,False,4.333333333333333
2025-11-22,15,2,13,2,1,1,4,1,1,3,2,2,5,토,779.0,44.0,38.0,40.0,205.0,92.0,32.0,174.0,169.0,29.0,2.0,4.0,8.0,639.8571428571429,605.9666666666667,False,4.3125
2025-11-23,15,1,13,2,1,2,4,1,0,3,2,2,6,일,834.0,43.0,54.0,139.0,253.0,58.0,0.0,131.0,94.0,105.0,3.0,4.333333333333333,13.0,640.1428571428571,607.2333333333333,False,4.333333333333333
2025-11-24,14,0,12,2,1,2,3,1,0,3,2,2,0,월,472.0,27.0,42.0,75.0,96.0,57.0,0.0,102.0,68.0,32.0,5.0,4.4,22.0,619.8571428571429,590.0333333333333,False,4.318181818181818
2025-11-25,15,2,14,1,2,3,2,1,0,3,2,2,1,화,575.0,31.0,131.0,148.0,41.0,32.0,0.0,109.0,67.0,47.0,6.0,3.1666666666666665,19.0,627.1428571428571,579.3,False,4.08
2025-11-26,15,1,14,1,2,3,2,1,0,2,3,2,2,수,601.0,33.0,67.0,151.0,80.0,41.0,0.0,59.0,175.0,28.0,2.0,3.5,7.0,626.2857142857143,580.6333333333333,False,3.96
2025-11-27,14,1,13,1,2,4,2,1,0,1,2,2,3,목,456.0,25.0,108.0,162.0,54.0,25.0,0.0,19.0,47.0,41.0,2.0,4.0,8.0,611.8571428571429,580.2666666666667,False,3.9166666666666665
2025-11-28,15,1,14,1,2,4,3,1,0,1,2,2,4,금,814.0,43.0,141.0,295.0,143.0,20.0,0.0,31.0,133.0,51.0,1.0,4.0,4.0,647.2857142857143,589.7666666666667,False,3.857142857142857
2025-11-29,14,1,13,1,2,5,3,1,0,1,2,0,5,토,1048.0,63.0,215.0,442.0,154.0,47.0,0.0,98.0,92.0,0.0,3.0,4.0,12.0,685.7142857142857,608.2,False,3.8636363636363638
2025-11-30,13,0,12,1,1,5,3,1,0,1,2,0,6,일,659.0,34.0,45.0,294.0,112.0,42.0,0.0,49.0,117.0,0.0,4.0,4.0,16.0,660.7142857142857,613.4666666666667,False,3.8260869565217392
2025-12-01,12,0,11,1,1,5,3,1,0,0,2,0,0,월,416.0,23.0,29.0,185.0,115.0,30.0,0.0,0.0,57.0,0.0,1.0,4.0,4.0,652.7142857142857,607.6666666666666,False,3.6842105263157894
2025-12-02,13,1,12,1,1,5,3,2,0,0,2,0,1,화,396.0,23.0,31.0,161.0,94.0,79.0,0.0,0.0,31.0,0.0,2.0,3.5,7.0,627.1428571428571,601.7,False,3.8666666666666667
2025-12-03,14,2,13,1,1,6,2,2,1,0,2,0,2,수,655.0,35.0,39.0,198.0,65.0,150.0,150.0,0.0,53.0,0.0,1.0,4.0,4.0,634.8571428571429,612.6,False,3.9285714285714284
2025-12-04,13,1,11,2,1,4,2,2,1,0,3,0,3,목,663.0,38.0,42.0,190.0,84.0,202.0,75.0,0.0,70.0,0.0,5.0,4.4,22.0,664.4285714285714,622.2333333333333,False,4.0588235294117645
2025-12-05,12,0,10,2,1,4,2,1,1,0,3,0,4,금,624.0,31.0,51.0,211.0,33.0,140.0,92.0,0.0,97.0,0.0,2.0,4.0,8.0,637.2857142857143,631.1,False,4.055555555555555
2025-12-06,10,0,8,2,0,3,2,1,1,0,3,0,5,토,498.0,23.0,0.0,156.0,83.0,126.0,28.0,0.0,105.0,0.0,3.0,3.6666666666666665,11.0,558.7142857142857,636.9666666666667,False,4.0
2025-12-07,11,1,9,2,0,4,2,1,1,0,3,0,6,일,606.0,36.0,0.0,249.0,70.0,129.0,63.0,0.0,95.0,0.0,2.0,4.0,8.0,551.1428571428571,643.8333333333334,False,4.0
2025-12-08,11,1,8,3,0,4,2,1,1,0,3,0,0,월,431.0,23.0,0.0,175.0,54.0,63.0,29.0,0.0,110.0,0.0,0.0,,0.0,553.2857142857143,630.3,False,4.0
2025-12-09,12,1,9,3,1,4,2,1,1,0,3,0,1,화,362.0,21.0,53.0,106.0,46.0,43.0,46.0,0.0,68.0,0.0,1.0,4.0,4.0,548.4285714285714,619.4333333333333,False,4.071428571428571
2025-12-10,12,1,8,4,1,3,3,1,1,0,3,0,2,수,512.0,31.0,71.0,117.0,93.0,104.0,34.0,0.0,93.0,0.0,4.0,4.25,17.0,528.0,620.0,False,4.117647058823529
2025-12-11,14,2,10,4,1,3,3,3,1,0,3,0,3,목,673.0,37.0,44.0,79.0,122.0,331.0,27.0,0.0,70.0,0.0,2.0,3.5,7.0,529.4285714285714,622.0333333333333,False,3.9285714285714284
2025-12-12,16,2,12,4,1,3,3,3,3,0,3,0,4,금,978.0,54.0,63.0,144.0,148.0,354.0,160.0,0.0,109.0,0.0,2.0,4.0,8.0,580.0,633.2333333333333,False,3.9285714285714284
2025-12-13,14,1,11,3,2,2,2,3,3,0,2,0,5,토,807.0,53.0,109.0,116.0,110.0,240.0,187.0,0.0,45.0,0.0,1.0,5.0,5.0,624.1428571428571,639.7,False,4.083333333333333
2025-12-14,13,0,10,3,2,1,2,3,3,0,2,0,6,일,787.0,46.0,105.0,98.0,109.0,211.0,200.0,0.0,64.0,0.0,1.0,4.0,4.0,650.0,644.1,False,4.090909090909091
2025-12-15,11,0,9,2,2,1,1,3,3,0,1,0,0,월,464.0,29.0,96.0,32.0,43.0,164.0,118.0,0.0,11.0,0.0,0.0,,0.0,654.7142857142857,627.0,False,4.090909090909091
2025-12-16,12,1,10,2,2,1,1,3,3,1,1,0,1,화,444.0,28.0,84.0,17.0,22.0,107.0,78.0,124.0,12.0,0.0,0.0,,0.0,666.4285714285714,614.0666666666667,False,4.1
2025-12-17,12,0,10,2,2,1,1,3,3,1,1,0,2,수,520.0,30.0,94.0,21.0,29.0,189.0,104.0,64.0,19.0,0.0,2.0,5.0,10.0,667.5714285714286,610.9333333333333,False,4.25
2025-12-18,14,2,12,2,2,2,2,3,3,1,1,0,3,목,566.0,36.0,69.0,78.0,93.0,140.0,79.0,91.0,16.0,0.0,2.0,3.5,7.0,652.2857142857143,612.3333333333334,False,4.25
2025-12-19,13,2,12,1,2,2,3,3,2,1,0,0,4,금,664.0,41.0,74.0,84.0,193.0,180.0,68.0,65.0,0.0,0.0,1.0,4.0,4.0,607.4285714285714,614.2333333333333,False,4.285714285714286
2025-12-20,15,2,14,1,2,3,3,4,2,1,0,0,5,토,1278.0,87.0,109.0,328.0,188.0,483.0,88.0,82.0,0.0,0.0,1.0,3.0,3.0,674.7142857142857,638.2666666666667,False,4.0
2025-12-21,16,1,15,1,3,3,3,4,2,1,0,0,6,일,1230.0,76.0,171.0,202.0,181.0,503.0,129.0,44.0,0.0,0.0,4.0,4.25,17.0,738.0,660.4,False,4.1
2025-12-22,17,1,15,2,3,3,4,4,2,1,0,0,0,월,776.0,47.0,87.0,104.0,205.0,299.0,31.0,50.0,0.0,0.0,4.0,4.5,18.0,782.5714285714286,660.3,False,4.214285714285714
2025-12-23,17,1,15,2,3,2,4,4,3,1,0,0,1,화,732.0,43.0,125.0,96.0,213.0,170.0,74.0,54.0,0.0,0.0,1.0,4.0,4.0,823.7142857142857,656.9,False,4.2
2025-12-24,19,2,17,2,3,3,4,5,3,1,0,0,2,수,811.0,46.0,120.0,146.0,225.0,180.0,117.0,23.0,0.0,0.0,2.0,4.0,8.0,865.2857142857143,668.2,False,4.066666666666666
