id,category,category_ko,brand,merchant_type,title,discount_raw,discount_pct,discount_type,period_raw,period_start,period_end,duration_days
e026,food,푸드,A Twosome Place,브랜드,시즌 음료 프로모션,20% OFF,20.0,percent,2026.05.01 - 2026.05.16,2026-05-01,2026-05-16,16
e027,food,푸드,BBQ Chicken,브랜드,베이커리 위크 할인전,1+1,,bundle,2026.05.30 - 2026.06.19,2026-05-30,2026-06-19,21
e028,food,푸드,Mega Coffee,브랜드,디저트 페스타,최대 60% OFF,60.0,percent,2026.05.03 - 2026.05.28,2026-05-03,2026-05-28,26
e029,food,푸드,Compose Coffee,브랜드,모닝 세트 스페셜,30% OFF,30.0,percent,2026.05.09 - 2026.05.19,2026-05-09,2026-05-19,11
e030,food,푸드,Domino's Pizza,소상공인,여름 시원 메뉴 이벤트,35% OFF,35.0,percent,2026.05.12 - 2026.05.27,2026-05-12,2026-05-27,16
e031,tech,테크,Samsung,브랜드,신제품 런칭 프로모션,1+1,,bundle,2026.05.08 - 2026.05.18,2026-05-08,2026-05-18,11
e032,tech,테크,Apple,브랜드,보상판매 업그레이드 이벤트,50% OFF,50.0,percent,2026.05.09 - 2026.05.24,2026-05-09,2026-05-24,16
e033,tech,테크,LG Electronics,브랜드,홈 가전 리프레시 위크,50% OFF,50.0,percent,2026.05.21 - 2026.06.10,2026-05-21,2026-06-10,21
e034,tech,테크,Xiaomi,브랜드,오디오 사운드 페스타,최대 70% OFF,70.0,percent,2026.05.16 - 2026.06.10,2026-05-16,2026-06-10,26
e035,tech,테크,Sony,브랜드,액세서리 번들 할인전,최대 60% OFF,60.0,percent,2026.05.17 - 2026.05.27,2026-05-17,2026-05-27,11
e036,tech,테크,Dyson,브랜드,신제품 런칭 프로모션,20% OFF,20.0,percent,2026.05.21 - 2026.06.05,2026-05-21,2026-06-05,16
e037,tech,테크,Bose,소상공인,보상판매 업그레이드 이벤트,20% OFF,20.0,percent,2026.05.23 - 2026.06.12,2026-05-23,2026-06-12,21
e038,tech,테크,JBL,브랜드,홈 가전 리프레시 위크,20% OFF,20.0,percent,2026.05.25 - 2026.06.19,2026-05-25,2026-06-19,26
e039,tech,테크,Logitech,브랜드,오디오 사운드 페스타,50% OFF,50.0,percent,2026.05.03 - 2026.05.13,2026-05-03,2026-05-13,11
e040,tech,테크,Anker,브랜드,액세서리 번들 할인전,40% OFF,40.0,percent,2026.05.03 - 2026.05.18,2026-05-03,2026-05-18,16
e041,delivery,딜리버리,배달의민족,브랜드,첫 주문 할인 쿠폰,45% OFF,45.0,percent,2026.05.06 - 2026.05.16,2026-05-06,2026-05-16,11
e042,delivery,딜리버리,요기요,브랜드,런치 타임 특가,40% OFF,40.0,percent,2026.05.07 - 2026.05.22,2026-05-07,2026-05-22,16
e043,delivery,딜리버리,쿠팡이츠,브랜드,주말 배달비 무료 이벤트,50% OFF,50.0,percent,2026.05.11 - 2026.05.31,2026-05-11,2026-05-31,21
e044,delivery,딜리버리,Domino's Pizza,소상공인,신메뉴 출시 기념 할인,1+1,,bundle,2026.05.24 - 2026.06.18,2026-05-24,2026-06-18,26
e045,delivery,딜리버리,Pizza Hut,브랜드,단골 고객 감사 프로모션,35% OFF,35.0,percent,2026.05.22 - 2026.06.01,2026-05-22,2026-06-01,11
e046,delivery,딜리버리,Mister Pizza,브랜드,첫 주문 할인 쿠폰,1+1,,bundle,2026.05.28 - 2026.06.12,2026-05-28,2026-06-12,16
e047,delivery,딜리버리,bhc치킨,브랜드,런치 타임 특가,25% OFF,25.0,percent,2026.05.24 - 2026.06.13,2026-05-24,2026-06-13,21
e048,delivery,딜리버리,교촌치킨,브랜드,주말 배달비 무료 이벤트,25% OFF,25.0,percent,2026.05.26 - 2026.06.20,2026-05-26,2026-06-20,26
e049,delivery,딜리버리,네네치킨,브랜드,신메뉴 출시 기념 할인,30% OFF,30.0,percent,2026.05.29 - 2026.06.08,2026-05-29,2026-06-08,11
e050,delivery,딜리버리,굽네치킨,브랜드,단골 고객 감사 프로모션,35% OFF,35.0,percent,2026.05.02 - 2026.05.17,2026-05-02,2026-05-17,16
e051,stay,스테이,야놀자,소상공인,얼리버드 예약 특가,35% OFF,35.0,percent,2026.05.04 - 2026.05.14,2026-05-04,2026-05-14,11
e052,stay,스테이,Agoda,브랜드,여름휴가 프로모션,50% OFF,50.0,percent,2026.05.09 - 2026.05.24,2026-05-09,2026-05-24,16
e053,stay,스테이,Booking.com,브랜드,주말 스테이케이션 할인,35% OFF,35.0,percent,2026.05.18 - 2026.06.07,2026-05-18,2026-06-07,21
e054,stay,스테이,Hotels.com,브랜드,장기 숙박 할인 이벤트,35% OFF,35.0,percent,2026.05.20 - 2026.06.14,2026-05-20,2026-06-14,26
e055,stay,스테이,Airbnb,브랜드,국내외 숙소 특가 위크,20% OFF,20.0,percent,2026.05.19 - 2026.05.29,2026-05-19,2026-05-29,11
e056,stay,스테이,여기어때,브랜드,얼리버드 예약 특가,최대 70% OFF,70.0,percent,2026.05.20 - 2026.06.04,2026-05-20,2026-06-04,16
e057,stay,스테이,Marriott,브랜드,여름휴가 프로모션,40% OFF,40.0,percent,2026.05.27 - 2026.06.16,2026-05-27,2026-06-16,21
e058,stay,스테이,Hilton,소상공인,주말 스테이케이션 할인,35% OFF,35.0,percent,2026.05.28 - 2026.06.22,2026-05-28,2026-06-22,26
e059,stay,스테이,Expedia,브랜드,장기 숙박 할인 이벤트,45% OFF,45.0,percent,2026.05.02 - 2026.05.12,2026-05-02,2026-05-12,11
e060,stay,스테이,Trip.com,브랜드,국내외 숙소 특가 위크,1+1,,bundle,2026.05.06 - 2026.05.21,2026-05-06,2026-05-21,16
e061,living,리빙,IKEA,브랜드,홈코디 리뉴얼 위크,40% OFF,40.0,percent,2026.05.05 - 2026.05.15,2026-05-05,2026-05-15,11
e062,living,리빙,무인양품,브랜드,침구 & 매트리스 특가전,45% OFF,45.0,percent,2026.05.08 - 2026.05.23,2026-05-08,2026-05-23,16
e063,living,리빙,현대리바트,브랜드,수납가구 할인 이벤트,1+1,,bundle,2026.05.12 - 2026.06.01,2026-05-12,2026-06-01,21
e064,living,리빙,에이스침대,브랜드,미니멀 라이프 캠페인,최대 60% OFF,60.0,percent,2026.05.15 - 2026.06.09,2026-05-15,2026-06-09,26
e065,living,리빙,Zara Home,소상공인,웰컴 홈 스타일링 프로모션,35% OFF,35.0,percent,2026.05.22 - 2026.06.01,2026-05-22,2026-06-01,11
e066,living,리빙,Nitori,브랜드,홈코디 리뉴얼 위크,25% OFF,25.0,percent,2026.05.22 - 2026.06.06,2026-05-22,2026-06-06,16
e067,living,리빙,한샘,브랜드,침구 & 매트리스 특가전,최대 60% OFF,60.0,percent,2026.05.21 - 2026.06.10,2026-05-21,2026-06-10,21
e068,living,리빙,Tempur,브랜드,수납가구 할인 이벤트,35% OFF,35.0,percent,2026.05.28 - 2026.06.22,2026-05-28,2026-06-22,26
e069,living,리빙,Casper,브랜드,미니멀 라이프 캠페인,40% OFF,40.0,percent,2026.05.01 - 2026.05.11,2026-05-01,2026-05-11,11
e070,living,리빙,코웨이,브랜드,웰컴 홈 스타일링 프로모션,30% OFF,30.0,percent,2026.05.01 - 2026.05.16,2026-05-01,2026-05-16,16
e071,popup,팝업,무신사 스탠다드,브랜드,성수 팝업스토어 오픈,방문 인증 시 사은품,,other,2026.07.10 - 2026.07.20,2026-07-10,2026-07-20,11
e072,popup,팝업,다이슨,브랜드,청담 신제품 체험존,체험 예약 시 시타 할인쿠폰,,other,2026.07.08 - 2026.07.31,2026-07-08,2026-07-31,24
e073,popup,팝업,동네빵집 밀도,소상공인,성수 베이커리 팝업,1+1,,bundle,2026.07.05 - 2026.07.14,2026-07-05,2026-07-14,10
e074,popup,팝업,라네즈,브랜드,강남 뷰티 체험 팝업,구매 시 미니어처 증정,,other,2026.07.09 - 2026.07.23,2026-07-09,2026-07-23,15
e075,popup,팝업,카페 소슬,소상공인,건대 로컬 카페 팝업,30% OFF,30.0,percent,2026.07.01 - 2026.07.31,2026-07-01,2026-07-31,31
e076,fashion,패션,폴로 랄프로렌,브랜드,폴로 랄프로렌 시즌 컬렉션 할인,45% OFF,45.0,percent,2026.07.10 - 2026.07.20,2026-07-10,2026-07-20,11
e077,fashion,패션,챔피온,브랜드,챔피온 시즌 컬렉션 할인,20% OFF,20.0,percent,2026.07.15 - 2026.07.31,2026-07-15,2026-07-31,17
e078,fashion,패션,스파오,브랜드,스파오 시즌 컬렉션 할인,30% OFF,30.0,percent,2026.08.01 - 2026.08.15,2026-08-01,2026-08-15,15
e079,fashion,패션,탑텐,소상공인,탑텐 시즌 컬렉션 할인,45% OFF,45.0,percent,2026.07.20 - 2026.08.05,2026-07-20,2026-08-05,17
e080,fashion,패션,에잇세컨즈,브랜드,에잇세컨즈 시즌 컬렉션 할인,30% OFF,30.0,percent,2026.07.10 - 2026.07.20,2026-07-10,2026-07-20,11
e081,fashion,패션,커버낫,브랜드,커버낫 시즌 컬렉션 할인,방문 인증 시 사은품,,other,2026.07.15 - 2026.07.31,2026-07-15,2026-07-31,17
e082,fashion,패션,디스커버리 익스페디션,브랜드,디스커버리 익스페디션 시즌 컬렉션 할인,방문 인증 시 사은품,,other,2026.08.01 - 2026.08.15,2026-08-01,2026-08-15,15
e083,fashion,패션,내셔널지오그래픽,브랜드,내셔널지오그래픽 시즌 컬렉션 할인,40% OFF,40.0,percent,2026.07.20 - 2026.08.05,2026-07-20,2026-08-05,17
e084,fashion,패션,반스,브랜드,반스 시즌 컬렉션 할인,20% OFF,20.0,percent,2026.08.05 - 2026.08.20,2026-08-05,2026-08-20,16
e085,fashion,패션,컨버스,브랜드,컨버스 시즌 컬렉션 할인,25% OFF,25.0,percent,2026.07.10 - 2026.07.20,2026-07-10,2026-07-20,11
e086,beauty,뷰티,올리브영,브랜드,올리브멤버스 전용 혜택 OPEN,멤버십 등급별 쿠폰,,other,2026.07.01 - 2026.07.31,2026-07-01,2026-07-31,31
e087,beauty,뷰티,올리브영,브랜드,최대 5만원 시크릿 할인 쿠폰,"최대 50,000원 할인",,amount,2026.07.01 - 2026.07.31,2026-07-01,2026-07-31,31
e088,beauty,뷰티,미샤,브랜드,미샤 뷰티 위크,40% OFF,40.0,percent,2026.07.20 - 2026.08.05,2026-07-20,2026-08-05,17
e089,beauty,뷰티,클리오,브랜드,클리오 뷰티 위크,15% OFF,15.0,percent,2026.08.05 - 2026.08.20,2026-08-05,2026-08-20,16
e090,beauty,뷰티,롬앤,브랜드,롬앤 뷰티 위크,25% OFF,25.0,percent,2026.07.15 - 2026.07.31,2026-07-15,2026-07-31,17
e091,beauty,뷰티,3CE,브랜드,3CE 뷰티 위크,15% OFF,15.0,percent,2026.08.01 - 2026.08.15,2026-08-01,2026-08-15,15
e092,beauty,뷰티,닥터자르트,브랜드,닥터자르트 뷰티 위크,45% OFF,45.0,percent,2026.07.20 - 2026.08.05,2026-07-20,2026-08-05,17
e093,beauty,뷰티,아누아,소상공인,아누아 뷰티 위크,25% OFF,25.0,percent,2026.08.05 - 2026.08.20,2026-08-05,2026-08-20,16
e094,beauty,뷰티,토니모리,브랜드,토니모리 뷰티 위크,55% OFF,55.0,percent,2026.07.10 - 2026.07.20,2026-07-10,2026-07-20,11
e095,beauty,뷰티,네이처리퍼블릭,브랜드,네이처리퍼블릭 뷰티 위크,방문 인증 시 사은품,,other,2026.07.15 - 2026.07.31,2026-07-15,2026-07-31,17
e096,food,푸드,CU,브랜드,CU 치트키 데이,최대 77% OFF,77.0,percent,2026.07.01 - 2026.07.31 (매주 일요일),2026-07-01,2026-07-31,31
e097,food,푸드,GS25,브랜드,GS25 카페25 올데이 프로모션,할인가 판매,,other,2026.07.01 - 2026.07.31,2026-07-01,2026-07-31,31
e098,food,푸드,세븐일레븐,브랜드,711데이,1+1,,bundle,2026.07.11 (711데이),2026-07-11,2026-07-11,1
e099,food,푸드,이마트24,브랜드,7월 QR 할인 이벤트,QR 제시 시 할인,,other,2026.07.01 - 2026.07.31,2026-07-01,2026-07-31,31
e100,food,푸드,이마트24,브랜드,7월 신규가입 100원딜 이벤트,100원 특가,,amount,2026.07.01 - 2026.07.31,2026-07-01,2026-07-31,31
e101,food,푸드,이마트에브리데이,브랜드,갈수록 고래잇 주간 특가전,최대 50% OFF,50.0,percent,2026.07.02 - 2026.07.08,2026-07-02,2026-07-08,7
e102,food,푸드,배스킨라빈스,브랜드,배스킨라빈스 시즌 메뉴 프로모션,방문 인증 시 사은품,,other,2026.07.10 - 2026.07.20,2026-07-10,2026-07-20,11
e103,food,푸드,공차,브랜드,공차 시즌 메뉴 프로모션,60% OFF,60.0,percent,2026.07.15 - 2026.07.31,2026-07-15,2026-07-31,17
e104,food,푸드,할리스,브랜드,할리스 시즌 메뉴 프로모션,50% OFF,50.0,percent,2026.08.01 - 2026.08.15,2026-08-01,2026-08-15,15
e105,food,푸드,이디야커피,브랜드,이디야커피 시즌 메뉴 프로모션,30% OFF,30.0,percent,2026.07.20 - 2026.08.05,2026-07-20,2026-08-05,17
e106,tech,테크,삼성전자,브랜드,삼성전자 신제품 런칭 할인,방문 인증 시 사은품,,other,2026.08.05 - 2026.08.20,2026-08-05,2026-08-20,16
e107,tech,테크,LG전자,소상공인,LG전자 신제품 런칭 할인,35% OFF,35.0,percent,2026.07.10 - 2026.07.20,2026-07-10,2026-07-20,11
e108,tech,테크,브라운,브랜드,브라운 신제품 런칭 할인,60% OFF,60.0,percent,2026.07.15 - 2026.07.31,2026-07-15,2026-07-31,17
e109,tech,테크,필립스,브랜드,필립스 신제품 런칭 할인,20% OFF,20.0,percent,2026.08.01 - 2026.08.15,2026-08-01,2026-08-15,15
e110,tech,테크,JBL,브랜드,JBL 신제품 런칭 할인,45% OFF,45.0,percent,2026.08.05 - 2026.08.20,2026-08-05,2026-08-20,16
e111,tech,테크,소니,브랜드,소니 신제품 런칭 할인,방문 인증 시 사은품,,other,2026.07.10 - 2026.07.20,2026-07-10,2026-07-20,11
e112,tech,테크,보스,브랜드,보스 신제품 런칭 할인,30% OFF,30.0,percent,2026.07.15 - 2026.07.31,2026-07-15,2026-07-31,17
e113,tech,테크,로지텍,브랜드,로지텍 신제품 런칭 할인,방문 인증 시 사은품,,other,2026.08.01 - 2026.08.15,2026-08-01,2026-08-15,15
e114,tech,테크,레이저,소상공인,레이저 신제품 런칭 할인,45% OFF,45.0,percent,2026.07.20 - 2026.08.05,2026-07-20,2026-08-05,17
e115,tech,테크,벤큐,브랜드,벤큐 신제품 런칭 할인,45% OFF,45.0,percent,2026.08.05 - 2026.08.20,2026-08-05,2026-08-20,16
e116,delivery,딜리버리,자담치킨,브랜드,먹을복페스타,"최대 5,000원 할인",,amount,2026.07.06 - 2026.07.12,2026-07-06,2026-07-12,7
e117,delivery,딜리버리,쿠팡이츠,브랜드,쿠팡이츠 첫 주문 할인 쿠폰,10% OFF,10.0,percent,2026.07.15 - 2026.07.31,2026-07-15,2026-07-31,17
e118,delivery,딜리버리,땡겨요,브랜드,땡겨요 첫 주문 할인 쿠폰,최대 70% OFF,70.0,percent,2026.08.01 - 2026.08.15,2026-08-01,2026-08-15,15
e119,delivery,딜리버리,위메프오,브랜드,위메프오 첫 주문 할인 쿠폰,최대 70% OFF,70.0,percent,2026.07.20 - 2026.08.05,2026-07-20,2026-08-05,17
e120,delivery,딜리버리,먹깨비,브랜드,먹깨비 첫 주문 할인 쿠폰,15% OFF,15.0,percent,2026.07.10 - 2026.07.20,2026-07-10,2026-07-20,11
e121,delivery,딜리버리,배달특급,소상공인,배달특급 첫 주문 할인 쿠폰,60% OFF,60.0,percent,2026.07.15 - 2026.07.31,2026-07-15,2026-07-31,17
e122,delivery,딜리버리,각지역 소상공인 배달,브랜드,각지역 소상공인 배달 첫 주문 할인 쿠폰,2+1,,bundle,2026.08.01 - 2026.08.15,2026-08-01,2026-08-15,15
e123,delivery,딜리버리,동네줌,브랜드,동네줌 첫 주문 할인 쿠폰,20% OFF,20.0,percent,2026.07.20 - 2026.08.05,2026-07-20,2026-08-05,17
e124,delivery,딜리버리,경기배달특급,브랜드,경기배달특급 첫 주문 할인 쿠폰,40% OFF,40.0,percent,2026.08.05 - 2026.08.20,2026-08-05,2026-08-20,16
e125,delivery,딜리버리,전주맛배달,브랜드,전주맛배달 첫 주문 할인 쿠폰,40% OFF,40.0,percent,2026.07.10 - 2026.07.20,2026-07-10,2026-07-20,11
e126,stay,스테이,아고다,브랜드,아고다 얼리버드 예약 할인,60% OFF,60.0,percent,2026.07.15 - 2026.07.31,2026-07-15,2026-07-31,17
e127,stay,스테이,부킹닷컴,브랜드,부킹닷컴 얼리버드 예약 할인,최대 70% OFF,70.0,percent,2026.08.01 - 2026.08.15,2026-08-01,2026-08-15,15
e128,stay,스테이,호텔스컴바인,소상공인,호텔스컴바인 얼리버드 예약 할인,50% OFF,50.0,percent,2026.07.20 - 2026.08.05,2026-07-20,2026-08-05,17
e129,stay,스테이,메리어트,브랜드,메리어트 얼리버드 예약 할인,50% OFF,50.0,percent,2026.08.05 - 2026.08.20,2026-08-05,2026-08-20,16
e130,stay,스테이,롯데호텔,브랜드,롯데호텔 얼리버드 예약 할인,40% OFF,40.0,percent,2026.07.15 - 2026.07.31,2026-07-15,2026-07-31,17
e131,stay,스테이,신라스테이,브랜드,신라스테이 얼리버드 예약 할인,40% OFF,40.0,percent,2026.08.01 - 2026.08.15,2026-08-01,2026-08-15,15
e132,stay,스테이,조선호텔,브랜드,조선호텔 얼리버드 예약 할인,30% OFF,30.0,percent,2026.07.20 - 2026.08.05,2026-07-20,2026-08-05,17
e133,stay,스테이,한화리조트,브랜드,한화리조트 얼리버드 예약 할인,35% OFF,35.0,percent,2026.08.05 - 2026.08.20,2026-08-05,2026-08-20,16
e134,stay,스테이,소노벨,브랜드,소노벨 얼리버드 예약 할인,25% OFF,25.0,percent,2026.07.10 - 2026.07.20,2026-07-10,2026-07-20,11
e135,stay,스테이,대명리조트,소상공인,대명리조트 얼리버드 예약 할인,55% OFF,55.0,percent,2026.07.15 - 2026.07.31,2026-07-15,2026-07-31,17
e136,living,리빙,일룸,브랜드,일룸 홈리뉴얼 할인전,35% OFF,35.0,percent,2026.08.01 - 2026.08.15,2026-08-01,2026-08-15,15
e137,living,리빙,리바트,브랜드,리바트 홈리뉴얼 할인전,55% OFF,55.0,percent,2026.07.20 - 2026.08.05,2026-07-20,2026-08-05,17
e138,living,리빙,에이스침대,브랜드,에이스침대 홈리뉴얼 할인전,20% OFF,20.0,percent,2026.08.05 - 2026.08.20,2026-08-05,2026-08-20,16
e139,living,리빙,시몬스,브랜드,시몬스 홈리뉴얼 할인전,20% OFF,20.0,percent,2026.07.10 - 2026.07.20,2026-07-10,2026-07-20,11
e140,living,리빙,이케아,브랜드,이케아 홈리뉴얼 할인전,1+1,,bundle,2026.08.01 - 2026.08.15,2026-08-01,2026-08-15,15
e141,living,리빙,무인양품,브랜드,무인양품 홈리뉴얼 할인전,20% OFF,20.0,percent,2026.07.20 - 2026.08.05,2026-07-20,2026-08-05,17
e142,living,리빙,자주,소상공인,자주 홈리뉴얼 할인전,2+1,,bundle,2026.08.05 - 2026.08.20,2026-08-05,2026-08-20,16
e143,living,리빙,이마트리빙,브랜드,이마트리빙 홈리뉴얼 할인전,1+1,,bundle,2026.07.10 - 2026.07.20,2026-07-10,2026-07-20,11
e144,living,리빙,롯데하이마트,브랜드,롯데하이마트 홈리뉴얼 할인전,60% OFF,60.0,percent,2026.07.15 - 2026.07.31,2026-07-15,2026-07-31,17
e145,living,리빙,까사미아,브랜드,까사미아 홈리뉴얼 할인전,2+1,,bundle,2026.08.01 - 2026.08.15,2026-08-01,2026-08-15,15
e146,popup,팝업,아디다스 오리지널스,브랜드,아디다스 오리지널스 팝업스토어,60% OFF,60.0,percent,2026.07.20 - 2026.08.05,2026-07-20,2026-08-05,17
e147,popup,팝업,젠틀몬스터,브랜드,젠틀몬스터 팝업스토어,2+1,,bundle,2026.08.05 - 2026.08.20,2026-08-05,2026-08-20,16
e148,popup,팝업,탬버린즈,브랜드,탬버린즈 팝업스토어,최대 70% OFF,70.0,percent,2026.07.10 - 2026.07.20,2026-07-10,2026-07-20,11
e149,popup,팝업,마뗑킴,소상공인,마뗑킴 팝업스토어,40% OFF,40.0,percent,2026.07.15 - 2026.07.31,2026-07-15,2026-07-31,17
e150,popup,팝업,앤더슨벨,브랜드,앤더슨벨 팝업스토어,20% OFF,20.0,percent,2026.07.20 - 2026.08.05,2026-07-20,2026-08-05,17
e151,popup,팝업,성수 로컬 소품샵,브랜드,성수 로컬 소품샵 팝업스토어,55% OFF,55.0,percent,2026.08.05 - 2026.08.20,2026-08-05,2026-08-20,16
e152,popup,팝업,을지로 인쇄골목 팝업,브랜드,을지로 인쇄골목 팝업 팝업스토어,10% OFF,10.0,percent,2026.07.10 - 2026.07.20,2026-07-10,2026-07-20,11
e153,popup,팝업,연남동 독립서점,브랜드,연남동 독립서점 팝업스토어,20% OFF,20.0,percent,2026.07.15 - 2026.07.31,2026-07-15,2026-07-31,17
e154,popup,팝업,망원동 수제청 공방,브랜드,망원동 수제청 공방 팝업스토어,1+1,,bundle,2026.08.01 - 2026.08.15,2026-08-01,2026-08-15,15
e155,popup,팝업,한남 아트팝업,브랜드,한남 아트팝업 팝업스토어,50% OFF,50.0,percent,2026.07.20 - 2026.08.05,2026-07-20,2026-08-05,17
e156,popup,팝업,합정 빈티지숍,소상공인,합정 빈티지숍 팝업스토어,30% OFF,30.0,percent,2026.08.05 - 2026.08.20,2026-08-05,2026-08-20,16
e157,popup,팝업,여의도 러닝 팝업,브랜드,여의도 러닝 팝업 팝업스토어,방문 인증 시 사은품,,other,2026.07.10 - 2026.07.20,2026-07-10,2026-07-20,11
e158,popup,팝업,잠실 스포츠 체험존,브랜드,잠실 스포츠 체험존 팝업스토어,50% OFF,50.0,percent,2026.07.15 - 2026.07.31,2026-07-15,2026-07-31,17
e159,popup,팝업,이태원 글로벌 푸드팝업,브랜드,이태원 글로벌 푸드팝업 팝업스토어,25% OFF,25.0,percent,2026.08.01 - 2026.08.15,2026-08-01,2026-08-15,15
e160,popup,팝업,선릉 오피스 간식팝업,브랜드,선릉 오피스 간식팝업 팝업스토어,35% OFF,35.0,percent,2026.08.05 - 2026.08.20,2026-08-05,2026-08-20,16
