id,category,category_ko,brand,merchant_type,title,discount_raw,discount_pct,discount_type,period_raw,period_start,period_end,duration_days,is_real
s0027,popup,팝업,카페 소슬,브랜드,카페 소슬 프로모션,방문 인증 시 사은품,,other,2025.10.04 - 2025.10.14,2025-10-04,2025-10-14,11,False
s0028,delivery,딜리버리,배달의민족,브랜드,배달의민족 프로모션,"최대 5,000원 할인",,amount,2025.10.05 - 2025.10.15,2025-10-05,2025-10-15,11,False
s0029,fashion,패션,Uniqlo,브랜드,Uniqlo 프로모션,방문 인증 시 사은품,,other,2025.10.09 - 2025.10.19,2025-10-09,2025-10-19,11,False
s0030,living,리빙,Casper,브랜드,Casper 프로모션,25% OFF,25.0,percent,2025.10.10 - 2025.10.25,2025-10-10,2025-10-25,16,False
s0031,beauty,뷰티,Nature Republic,브랜드,Nature Republic 프로모션,2+1,,bundle,2025.10.10 - 2025.10.30,2025-10-10,2025-10-30,21,False
s0032,fashion,패션,스파오,브랜드,스파오 프로모션,50% OFF,50.0,percent,2025.10.11 - 2025.10.21,2025-10-11,2025-10-21,11,False
s0033,tech,테크,LG전자,브랜드,LG전자 프로모션,15% OFF,15.0,percent,2025.10.11 - 2025.10.31,2025-10-11,2025-10-31,21,False
s0034,living,리빙,코웨이,브랜드,코웨이 프로모션,60% OFF,60.0,percent,2025.10.11 - 2025.10.21,2025-10-11,2025-10-21,11,False
s0035,popup,팝업,젠틀몬스터,브랜드,젠틀몬스터 프로모션,40% OFF,40.0,percent,2025.10.13 - 2025.10.29,2025-10-13,2025-10-29,17,False
s0036,delivery,딜리버리,동네줌,브랜드,동네줌 프로모션,40% OFF,40.0,percent,2025.10.14 - 2025.10.24,2025-10-14,2025-10-24,11,False
s0037,stay,스테이,야놀자,브랜드,야놀자 프로모션,65% OFF,65.0,percent,2025.10.16 - 2025.10.31,2025-10-16,2025-10-31,16,False
s0038,fashion,패션,폴로 랄프로렌,브랜드,폴로 랄프로렌 프로모션,50% OFF,50.0,percent,2025.10.17 - 2025.11.01,2025-10-17,2025-11-01,16,False
s0039,popup,팝업,아디다스 오리지널스,브랜드,아디다스 오리지널스 프로모션,30% OFF,30.0,percent,2025.10.18 - 2025.11.07,2025-10-18,2025-11-07,21,False
s0040,popup,팝업,앤더슨벨,브랜드,앤더슨벨 프로모션,30% OFF,30.0,percent,2025.10.19 - 2025.11.02,2025-10-19,2025-11-02,15,False
s0041,living,리빙,일룸,브랜드,일룸 프로모션,60% OFF,60.0,percent,2025.10.20 - 2025.11.03,2025-10-20,2025-11-03,15,False
s0042,fashion,패션,Levi's,브랜드,Levi's 프로모션,45% OFF,45.0,percent,2025.10.20 - 2025.11.04,2025-10-20,2025-11-04,16,False
s0043,fashion,패션,ZARA,브랜드,ZARA 프로모션,40% OFF,40.0,percent,2025.10.20 - 2025.10.26,2025-10-20,2025-10-26,7,False
s0044,stay,스테이,신라스테이,브랜드,신라스테이 프로모션,35% OFF,35.0,percent,2025.10.20 - 2025.11.09,2025-10-20,2025-11-09,21,False
s0045,fashion,패션,New Balance,브랜드,New Balance 프로모션,40% OFF,40.0,percent,2025.10.21 - 2025.10.31,2025-10-21,2025-10-31,11,False
s0046,popup,팝업,선릉 오피스 간식팝업,브랜드,선릉 오피스 간식팝업 프로모션,35% OFF,35.0,percent,2025.10.21 - 2025.11.13,2025-10-21,2025-11-13,24,False
s0047,food,푸드,Ediya Coffee,브랜드,Ediya Coffee 프로모션,50% OFF,50.0,percent,2025.10.22 - 2025.11.01,2025-10-22,2025-11-01,11,False
s0048,popup,팝업,아디다스 오리지널스,소상공인,아디다스 오리지널스 프로모션,1+1,,bundle,2025.10.26 - 2025.11.10,2025-10-26,2025-11-10,16,False
s0049,delivery,딜리버리,경기배달특급,브랜드,경기배달특급 프로모션,1+1,,bundle,2025.11.01 - 2025.11.16,2025-11-01,2025-11-16,16,False
s0050,fashion,패션,Levi's,브랜드,Levi's 프로모션,45% OFF,45.0,percent,2025.11.02 - 2025.12.02,2025-11-02,2025-12-02,31,False
s0051,fashion,패션,adidas,소상공인,adidas 프로모션,50% OFF,50.0,percent,2025.11.04 - 2025.11.24,2025-11-04,2025-11-24,21,False
s0052,popup,팝업,성수 로컬 소품샵,브랜드,성수 로컬 소품샵 프로모션,35% OFF,35.0,percent,2025.11.04 - 2025.11.19,2025-11-04,2025-11-19,16,False
s0053,living,리빙,자주,브랜드,자주 프로모션,35% OFF,35.0,percent,2025.11.07 - 2025.11.22,2025-11-07,2025-11-22,16,False
s0054,tech,테크,소니,브랜드,소니 프로모션,20% OFF,20.0,percent,2025.11.08 - 2025.11.28,2025-11-08,2025-11-28,21,False
s0055,food,푸드,GS25,소상공인,GS25 프로모션,45% OFF,45.0,percent,2025.11.08 - 2025.11.18,2025-11-08,2025-11-18,11,False
s0056,fashion,패션,New Balance,브랜드,New Balance 프로모션,40% OFF,40.0,percent,2025.11.08 - 2025.11.23,2025-11-08,2025-11-23,16,False
s0057,stay,스테이,Airbnb,브랜드,Airbnb 프로모션,60% OFF,60.0,percent,2025.11.10 - 2025.11.20,2025-11-10,2025-11-20,11,False
s0058,popup,팝업,무신사 스탠다드,브랜드,무신사 스탠다드 프로모션,방문 인증 시 사은품,,other,2025.11.10 - 2025.11.25,2025-11-10,2025-11-25,16,False
s0059,popup,팝업,앤더슨벨,브랜드,앤더슨벨 프로모션,35% OFF,35.0,percent,2025.11.11 - 2025.11.26,2025-11-11,2025-11-26,16,False
s0060,tech,테크,Samsung,브랜드,Samsung 프로모션,25% OFF,25.0,percent,2025.11.12 - 2025.11.28,2025-11-12,2025-11-28,17,False
s0061,beauty,뷰티,MAC,브랜드,MAC 프로모션,40% OFF,40.0,percent,2025.11.14 - 2025.11.29,2025-11-14,2025-11-29,16,False
s0062,popup,팝업,동네빵집 밀도,브랜드,동네빵집 밀도 프로모션,방문 인증 시 사은품,,other,2025.11.15 - 2025.11.30,2025-11-15,2025-11-30,16,False
s0063,stay,스테이,Expedia,브랜드,Expedia 프로모션,50% OFF,50.0,percent,2025.11.16 - 2025.11.26,2025-11-16,2025-11-26,11,False
s0064,delivery,딜리버리,동네줌,브랜드,동네줌 프로모션,10% OFF,10.0,percent,2025.11.17 - 2025.12.03,2025-11-17,2025-12-03,17,False
s0065,food,푸드,이마트에브리데이,브랜드,이마트에브리데이 프로모션,2+1,,bundle,2025.11.19 - 2025.12.04,2025-11-19,2025-12-04,16,False
s0066,stay,스테이,Booking.com,브랜드,Booking.com 프로모션,50% OFF,50.0,percent,2025.11.22 - 2025.12.07,2025-11-22,2025-12-07,16,False
s0067,fashion,패션,폴로 랄프로렌,소상공인,폴로 랄프로렌 프로모션,20% OFF,20.0,percent,2025.11.22 - 2025.12.12,2025-11-22,2025-12-12,21,False
s0068,delivery,딜리버리,동네줌,브랜드,동네줌 프로모션,2+1,,bundle,2025.11.23 - 2025.12.03,2025-11-23,2025-12-03,11,False
s0069,delivery,딜리버리,자담치킨,브랜드,자담치킨 프로모션,1+1,,bundle,2025.11.25 - 2025.12.05,2025-11-25,2025-12-05,11,False
s0070,beauty,뷰티,Etude,브랜드,Etude 프로모션,30% OFF,30.0,percent,2025.11.25 - 2025.12.05,2025-11-25,2025-12-05,11,False
s0071,stay,스테이,아고다,브랜드,아고다 프로모션,30% OFF,30.0,percent,2025.11.26 - 2025.12.12,2025-11-26,2025-12-12,17,False
s0072,delivery,딜리버리,Pizza Hut,브랜드,Pizza Hut 프로모션,2+1,,bundle,2025.11.27 - 2025.12.12,2025-11-27,2025-12-12,16,False
s0073,fashion,패션,GUESS,브랜드,GUESS 프로모션,20% OFF,20.0,percent,2025.11.28 - 2025.12.14,2025-11-28,2025-12-14,17,False
s0074,delivery,딜리버리,동네줌,브랜드,동네줌 프로모션,"최대 5,000원 할인",,amount,2025.11.29 - 2025.12.09,2025-11-29,2025-12-09,11,False
s0075,food,푸드,배스킨라빈스,브랜드,배스킨라빈스 프로모션,50% OFF,50.0,percent,2025.12.02 - 2025.12.18,2025-12-02,2025-12-18,17,False
s0076,living,리빙,IKEA,브랜드,IKEA 프로모션,2+1,,bundle,2025.12.03 - 2025.12.18,2025-12-03,2025-12-18,16,False
s0077,delivery,딜리버리,교촌치킨,브랜드,교촌치킨 프로모션,25% OFF,25.0,percent,2025.12.03 - 2025.12.13,2025-12-03,2025-12-13,11,False
s0078,stay,스테이,Airbnb,소상공인,Airbnb 프로모션,35% OFF,35.0,percent,2025.12.04 - 2025.12.14,2025-12-04,2025-12-14,11,False
s0079,delivery,딜리버리,굽네치킨,브랜드,굽네치킨 프로모션,35% OFF,35.0,percent,2025.12.07 - 2025.12.22,2025-12-07,2025-12-22,16,False
s0080,stay,스테이,Airbnb,소상공인,Airbnb 프로모션,35% OFF,35.0,percent,2025.12.08 - 2025.12.18,2025-12-08,2025-12-18,11,False
s0081,beauty,뷰티,Innisfree,브랜드,Innisfree 프로모션,15% OFF,15.0,percent,2025.12.09 - 2025.12.25,2025-12-09,2025-12-25,17,False
s0082,fashion,패션,반스,소상공인,반스 프로모션,20% OFF,20.0,percent,2025.12.10 - 2025.12.24,2025-12-10,2025-12-24,15,False
s0083,food,푸드,이마트에브리데이,브랜드,이마트에브리데이 프로모션,"최대 5,000원 할인",,amount,2025.12.11 - 2026.01.05,2025-12-11,2026-01-05,26,False
s0084,food,푸드,GS25,브랜드,GS25 프로모션,25% OFF,25.0,percent,2025.12.11 - 2026.01.05,2025-12-11,2026-01-05,26,False
s0085,living,리빙,까사미아,브랜드,까사미아 프로모션,50% OFF,50.0,percent,2025.12.12 - 2026.01.04,2025-12-12,2026-01-04,24,False
s0086,living,리빙,한샘,브랜드,한샘 프로모션,20% OFF,20.0,percent,2025.12.12 - 2025.12.28,2025-12-12,2025-12-28,17,False
s0087,beauty,뷰티,MAC,브랜드,MAC 프로모션,15% OFF,15.0,percent,2025.12.13 - 2025.12.28,2025-12-13,2025-12-28,16,False
s0088,popup,팝업,이태원 글로벌 푸드팝업,브랜드,이태원 글로벌 푸드팝업 프로모션,35% OFF,35.0,percent,2025.12.16 - 2026.01.01,2025-12-16,2026-01-01,17,False
s0089,delivery,딜리버리,땡겨요,브랜드,땡겨요 프로모션,30% OFF,30.0,percent,2025.12.18 - 2025.12.24,2025-12-18,2025-12-24,7,False
s0090,fashion,패션,에잇세컨즈,브랜드,에잇세컨즈 프로모션,방문 인증 시 사은품,,other,2025.12.18 - 2026.01.01,2025-12-18,2026-01-01,15,False
s0091,food,푸드,Paris Baguette,브랜드,Paris Baguette 프로모션,2+1,,bundle,2025.12.19 - 2025.12.29,2025-12-19,2025-12-29,11,False
s0092,fashion,패션,Levi's,브랜드,Levi's 프로모션,20% OFF,20.0,percent,2025.12.19 - 2025.12.29,2025-12-19,2025-12-29,11,False
s0093,food,푸드,GS25,브랜드,GS25 프로모션,50% OFF,50.0,percent,2025.12.20 - 2026.01.14,2025-12-20,2026-01-14,26,False
s0094,delivery,딜리버리,bhc치킨,브랜드,bhc치킨 프로모션,45% OFF,45.0,percent,2025.12.20 - 2026.01.05,2025-12-20,2026-01-05,17,False
s0095,beauty,뷰티,아누아,브랜드,아누아 프로모션,40% OFF,40.0,percent,2025.12.21 - 2026.01.05,2025-12-21,2026-01-05,16,False
s0096,fashion,패션,ZARA,소상공인,ZARA 프로모션,55% OFF,55.0,percent,2025.12.22 - 2026.01.01,2025-12-22,2026-01-01,11,False
s0097,living,리빙,Tempur,브랜드,Tempur 프로모션,20% OFF,20.0,percent,2025.12.23 - 2026.01.02,2025-12-23,2026-01-02,11,False
s0098,food,푸드,Baskin Robbins,브랜드,Baskin Robbins 프로모션,70% OFF,70.0,percent,2025.12.24 - 2026.01.07,2025-12-24,2026-01-07,15,False
s0099,delivery,딜리버리,땡겨요,브랜드,땡겨요 프로모션,40% OFF,40.0,percent,2025.12.24 - 2026.01.09,2025-12-24,2026-01-09,17,False
s0101,living,리빙,자주,브랜드,자주 프로모션,2+1,,bundle,2025.12.25 - 2026.01.10,2025-12-25,2026-01-10,17,False
s0100,tech,테크,Xiaomi,브랜드,Xiaomi 프로모션,35% OFF,35.0,percent,2025.12.25 - 2026.01.14,2025-12-25,2026-01-14,21,False
s0102,food,푸드,Tous les Jours,브랜드,Tous les Jours 프로모션,50% OFF,50.0,percent,2025.12.26 - 2026.01.11,2025-12-26,2026-01-11,17,False
s0103,food,푸드,이마트24,소상공인,이마트24 프로모션,55% OFF,55.0,percent,2025.12.28 - 2026.01.22,2025-12-28,2026-01-22,26,False
s0104,living,리빙,롯데하이마트,소상공인,롯데하이마트 프로모션,20% OFF,20.0,percent,2025.12.28 - 2026.01.12,2025-12-28,2026-01-12,16,False
s0105,living,리빙,일룸,브랜드,일룸 프로모션,20% OFF,20.0,percent,2025.12.30 - 2026.01.15,2025-12-30,2026-01-15,17,False
s0106,food,푸드,Domino's Pizza,브랜드,Domino's Pizza 프로모션,60% OFF,60.0,percent,2025.12.31 - 2026.01.14,2025-12-31,2026-01-14,15,False
s0107,delivery,딜리버리,전주맛배달,브랜드,전주맛배달 프로모션,10% OFF,10.0,percent,2026.01.02 - 2026.01.12,2026-01-02,2026-01-12,11,False
s0108,food,푸드,배스킨라빈스,브랜드,배스킨라빈스 프로모션,30% OFF,30.0,percent,2026.01.05 - 2026.01.21,2026-01-05,2026-01-21,17,False
s0109,stay,스테이,Agoda,브랜드,Agoda 프로모션,30% OFF,30.0,percent,2026.01.07 - 2026.01.21,2026-01-07,2026-01-21,15,False
s0110,stay,스테이,한화리조트,브랜드,한화리조트 프로모션,30% OFF,30.0,percent,2026.01.10 - 2026.01.25,2026-01-10,2026-01-25,16,False
s0111,delivery,딜리버리,배달의민족,브랜드,배달의민족 프로모션,30% OFF,30.0,percent,2026.01.11 - 2026.01.26,2026-01-11,2026-01-26,16,False
s0112,tech,테크,로지텍,브랜드,로지텍 프로모션,방문 인증 시 사은품,,other,2026.01.11 - 2026.01.21,2026-01-11,2026-01-21,11,False
s0113,stay,스테이,호텔스컴바인,소상공인,호텔스컴바인 프로모션,65% OFF,65.0,percent,2026.01.12 - 2026.01.27,2026-01-12,2026-01-27,16,False
s0114,popup,팝업,앤더슨벨,소상공인,앤더슨벨 프로모션,2+1,,bundle,2026.01.13 - 2026.02.02,2026-01-13,2026-02-02,21,False
s0115,food,푸드,Ediya Coffee,브랜드,Ediya Coffee 프로모션,20% OFF,20.0,percent,2026.01.14 - 2026.01.29,2026-01-14,2026-01-29,16,False
s0116,beauty,뷰티,MAC,브랜드,MAC 프로모션,40% OFF,40.0,percent,2026.01.14 - 2026.01.28,2026-01-14,2026-01-28,15,False
s0117,food,푸드,Domino's Pizza,브랜드,Domino's Pizza 프로모션,방문 인증 시 사은품,,other,2026.01.14 - 2026.02.08,2026-01-14,2026-02-08,26,False
s0118,food,푸드,이디야커피,브랜드,이디야커피 프로모션,15% OFF,15.0,percent,2026.01.17 - 2026.02.02,2026-01-17,2026-02-02,17,False
s0119,food,푸드,할리스,브랜드,할리스 프로모션,80% OFF,80.0,percent,2026.01.18 - 2026.01.28,2026-01-18,2026-01-28,11,False
s0120,stay,스테이,부킹닷컴,브랜드,부킹닷컴 프로모션,45% OFF,45.0,percent,2026.01.19 - 2026.02.03,2026-01-19,2026-02-03,16,False
s0121,food,푸드,배스킨라빈스,소상공인,배스킨라빈스 프로모션,"최대 5,000원 할인",,amount,2026.01.23 - 2026.02.12,2026-01-23,2026-02-12,21,False
s0122,fashion,패션,8seconds,브랜드,8seconds 프로모션,30% OFF,30.0,percent,2026.01.24 - 2026.02.08,2026-01-24,2026-02-08,16,False
s0123,popup,팝업,카페 소슬,브랜드,카페 소슬 프로모션,75% OFF,75.0,percent,2026.01.25 - 2026.02.10,2026-01-25,2026-02-10,17,False
s0124,living,리빙,리바트,소상공인,리바트 프로모션,65% OFF,65.0,percent,2026.01.26 - 2026.02.11,2026-01-26,2026-02-11,17,False
s0125,stay,스테이,Booking.com,브랜드,Booking.com 프로모션,35% OFF,35.0,percent,2026.01.27 - 2026.02.06,2026-01-27,2026-02-06,11,False
s0126,fashion,패션,폴로 랄프로렌,브랜드,폴로 랄프로렌 프로모션,방문 인증 시 사은품,,other,2026.01.28 - 2026.02.22,2026-01-28,2026-02-22,26,False
s0127,popup,팝업,한남 아트팝업,브랜드,한남 아트팝업 프로모션,50% OFF,50.0,percent,2026.01.30 - 2026.02.15,2026-01-30,2026-02-15,17,False
s0128,popup,팝업,동네빵집 밀도,브랜드,동네빵집 밀도 프로모션,50% OFF,50.0,percent,2026.01.30 - 2026.02.09,2026-01-30,2026-02-09,11,False
s0129,popup,팝업,여의도 러닝 팝업,소상공인,여의도 러닝 팝업 프로모션,65% OFF,65.0,percent,2026.02.02 - 2026.02.17,2026-02-02,2026-02-17,16,False
s0130,tech,테크,Bose,브랜드,Bose 프로모션,35% OFF,35.0,percent,2026.02.02 - 2026.02.17,2026-02-02,2026-02-17,16,False
s0131,popup,팝업,연남동 독립서점,브랜드,연남동 독립서점 프로모션,60% OFF,60.0,percent,2026.02.02 - 2026.02.16,2026-02-02,2026-02-16,15,False
s0132,stay,스테이,Hotels.com,브랜드,Hotels.com 프로모션,70% OFF,70.0,percent,2026.02.03 - 2026.02.28,2026-02-03,2026-02-28,26,False
s0133,popup,팝업,탬버린즈,소상공인,탬버린즈 프로모션,15% OFF,15.0,percent,2026.02.04 - 2026.02.14,2026-02-04,2026-02-14,11,False
s0134,delivery,딜리버리,동네줌,브랜드,동네줌 프로모션,40% OFF,40.0,percent,2026.02.04 - 2026.03.06,2026-02-04,2026-03-06,31,False
s0135,food,푸드,A Twosome Place,브랜드,A Twosome Place 프로모션,55% OFF,55.0,percent,2026.02.05 - 2026.02.15,2026-02-05,2026-02-15,11,False
s0136,food,푸드,Tous les Jours,브랜드,Tous les Jours 프로모션,30% OFF,30.0,percent,2026.02.05 - 2026.02.20,2026-02-05,2026-02-20,16,False
s0137,tech,테크,Anker,브랜드,Anker 프로모션,40% OFF,40.0,percent,2026.02.09 - 2026.02.25,2026-02-09,2026-02-25,17,False
s0139,popup,팝업,아디다스 오리지널스,브랜드,아디다스 오리지널스 프로모션,15% OFF,15.0,percent,2026.02.10 - 2026.02.26,2026-02-10,2026-02-26,17,False
s0138,popup,팝업,합정 빈티지숍,브랜드,합정 빈티지숍 프로모션,30% OFF,30.0,percent,2026.02.10 - 2026.02.16,2026-02-10,2026-02-16,7,False
s0140,tech,테크,Apple,브랜드,Apple 프로모션,20% OFF,20.0,percent,2026.02.11 - 2026.02.26,2026-02-11,2026-02-26,16,False
s0141,delivery,딜리버리,요기요,브랜드,요기요 프로모션,35% OFF,35.0,percent,2026.02.12 - 2026.03.14,2026-02-12,2026-03-14,31,False
s0142,food,푸드,CU,브랜드,CU 프로모션,30% OFF,30.0,percent,2026.02.12 - 2026.02.22,2026-02-12,2026-02-22,11,False
s0143,fashion,패션,반스,브랜드,반스 프로모션,55% OFF,55.0,percent,2026.02.12 - 2026.03.04,2026-02-12,2026-03-04,21,False
s0144,fashion,패션,GUESS,브랜드,GUESS 프로모션,15% OFF,15.0,percent,2026.02.12 - 2026.03.09,2026-02-12,2026-03-09,26,False
s0145,beauty,뷰티,3CE,브랜드,3CE 프로모션,35% OFF,35.0,percent,2026.02.12 - 2026.03.09,2026-02-12,2026-03-09,26,False
s0146,food,푸드,이마트에브리데이,브랜드,이마트에브리데이 프로모션,50% OFF,50.0,percent,2026.02.13 - 2026.03.01,2026-02-13,2026-03-01,17,False
s0147,fashion,패션,ZARA,브랜드,ZARA 프로모션,35% OFF,35.0,percent,2026.02.13 - 2026.02.27,2026-02-13,2026-02-27,15,False
s0148,popup,팝업,을지로 인쇄골목 팝업,브랜드,을지로 인쇄골목 팝업 프로모션,65% OFF,65.0,percent,2026.02.16 - 2026.03.04,2026-02-16,2026-03-04,17,False
s0149,stay,스테이,Hotels.com,브랜드,Hotels.com 프로모션,25% OFF,25.0,percent,2026.02.17 - 2026.03.19,2026-02-17,2026-03-19,31,False
s0150,tech,테크,필립스,브랜드,필립스 프로모션,30% OFF,30.0,percent,2026.02.18 - 2026.03.04,2026-02-18,2026-03-04,15,False
s0152,living,리빙,한샘,브랜드,한샘 프로모션,55% OFF,55.0,percent,2026.02.19 - 2026.03.05,2026-02-19,2026-03-05,15,False
s0151,stay,스테이,한화리조트,브랜드,한화리조트 프로모션,55% OFF,55.0,percent,2026.02.19 - 2026.03.01,2026-02-19,2026-03-01,11,False
s0153,tech,테크,보스,브랜드,보스 프로모션,방문 인증 시 사은품,,other,2026.02.20 - 2026.03.08,2026-02-20,2026-03-08,17,False
s0154,beauty,뷰티,Laneige,브랜드,Laneige 프로모션,50% OFF,50.0,percent,2026.02.21 - 2026.03.18,2026-02-21,2026-03-18,26,False
s0155,beauty,뷰티,아누아,브랜드,아누아 프로모션,45% OFF,45.0,percent,2026.02.21 - 2026.03.23,2026-02-21,2026-03-23,31,False
s0156,delivery,딜리버리,먹깨비,브랜드,먹깨비 프로모션,2+1,,bundle,2026.02.21 - 2026.03.09,2026-02-21,2026-03-09,17,False
s0157,food,푸드,Ediya Coffee,브랜드,Ediya Coffee 프로모션,2+1,,bundle,2026.02.23 - 2026.03.05,2026-02-23,2026-03-05,11,False
s0158,stay,스테이,Hilton,브랜드,Hilton 프로모션,75% OFF,75.0,percent,2026.02.23 - 2026.03.11,2026-02-23,2026-03-11,17,False
s0159,stay,스테이,Booking.com,브랜드,Booking.com 프로모션,55% OFF,55.0,percent,2026.02.24 - 2026.03.11,2026-02-24,2026-03-11,16,False
s0160,beauty,뷰티,3CE,브랜드,3CE 프로모션,20% OFF,20.0,percent,2026.02.26 - 2026.03.14,2026-02-26,2026-03-14,17,False
s0161,beauty,뷰티,Laneige,브랜드,Laneige 프로모션,25% OFF,25.0,percent,2026.02.26 - 2026.03.18,2026-02-26,2026-03-18,21,False
s0162,food,푸드,Domino's Pizza,브랜드,Domino's Pizza 프로모션,방문 인증 시 사은품,,other,2026.02.27 - 2026.03.09,2026-02-27,2026-03-09,11,False
s0163,fashion,패션,커버낫,브랜드,커버낫 프로모션,45% OFF,45.0,percent,2026.02.28 - 2026.03.20,2026-02-28,2026-03-20,21,False
s0165,beauty,뷰티,아누아,브랜드,아누아 프로모션,50% OFF,50.0,percent,2026.03.02 - 2026.03.17,2026-03-02,2026-03-17,16,False
s0164,living,리빙,Tempur,브랜드,Tempur 프로모션,40% OFF,40.0,percent,2026.03.02 - 2026.03.12,2026-03-02,2026-03-12,11,False
s0166,beauty,뷰티,Innisfree,브랜드,Innisfree 프로모션,"최대 5,000원 할인",,amount,2026.03.03 - 2026.03.13,2026-03-03,2026-03-13,11,False
s0167,fashion,패션,챔피온,브랜드,챔피온 프로모션,50% OFF,50.0,percent,2026.03.03 - 2026.03.17,2026-03-03,2026-03-17,15,False
s0168,food,푸드,Paris Baguette,브랜드,Paris Baguette 프로모션,방문 인증 시 사은품,,other,2026.03.05 - 2026.03.15,2026-03-05,2026-03-15,11,False
s0169,food,푸드,GS25,브랜드,GS25 프로모션,30% OFF,30.0,percent,2026.03.06 - 2026.03.21,2026-03-06,2026-03-21,16,False
s0170,living,리빙,자주,브랜드,자주 프로모션,15% OFF,15.0,percent,2026.03.06 - 2026.03.20,2026-03-06,2026-03-20,15,False
s0171,stay,스테이,야놀자,소상공인,야놀자 프로모션,20% OFF,20.0,percent,2026.03.08 - 2026.04.02,2026-03-08,2026-04-02,26,False
